Sun Nov 20 17:16:40 2011,24.80,Calculate mandelbrot set,will-linux
Sun Nov 20 17:19:18 2011,24.77,"Calculate mandelbrot set","will-linux"
Sat Dec  3 14:33:47 2011,25.49,"Calculate mandelbrot set","will-linux"
Sat Dec  3 16:49:50 2011,24.76,"Calculate mandelbrot set","will-linux"
Mon Dec  5 18:44:49 2011,24.72,"Calculate mandelbrot set","will-linux"
Mon Dec  5 18:45:48 2011,24.60,"Calculate mandelbrot set","will-linux"
Mon Dec 19 22:33:38 2011,24.72,"Calculate mandelbrot set","will-linux"
Wed Jan  4 17:49:15 2012,20.22,"Calculate mandelbrot set","will-mint"
Fri Jan  6 01:05:14 2012,20.32,"Calculate mandelbrot set","will-mint"
Fri Jan  6 01:08:52 2012,19.43,"Calculate mandelbrot set","will-mint"
Fri Jan  6 01:13:03 2012,19.52,"Calculate mandelbrot set","will-mint"
Fri Jan  6 01:15:13 2012,19.45,"Calculate mandelbrot set","will-mint"
Fri Jan  6 11:36:39 2012,15.34,"Calculate mandelbrot set","will-mint"
Fri Jan  6 11:39:10 2012,14.97,"Calculate mandelbrot set","will-mint"
Fri Jan  6 11:39:36 2012,15.23,"Calculate mandelbrot set","will-mint"
Fri Jan  6 12:08:08 2012,14.72,"Calculate mandelbrot set","will-mint"
Fri Jan  6 12:13:18 2012,14.61,"Calculate mandelbrot set","will-mint"
Fri Jan  6 12:18:43 2012,14.68,"Calculate mandelbrot set","will-mint"
Fri Jan  6 12:20:12 2012,14.67,"Calculate mandelbrot set","will-mint"
Fri Jan  6 12:53:06 2012,14.56,"Calculate mandelbrot set","will-mint"
Fri Jan  6 13:06:25 2012,14.63,"Calculate mandelbrot set","will-mint"
Fri Jan  6 14:28:53 2012,14.54,"Calculate mandelbrot set","will-mint"
Fri Jan  6 14:29:21 2012,14.67,"Calculate mandelbrot set","will-mint"
Fri Jan  6 14:59:48 2012,15.17,"Calculate mandelbrot set","will-mint"
Fri Jan  6 15:00:37 2012,14.91,"Calculate mandelbrot set","will-mint"
Fri Jan  6 15:01:39 2012,12.04,"Calculate mandelbrot set","will-mint"
Fri Jan  6 15:03:45 2012,12.10,"Calculate mandelbrot set","will-mint"
Fri Jan  6 15:07:07 2012,12.29,"Calculate mandelbrot set","will-mint"
Fri Jan  6 15:07:28 2012,12.07,"Calculate mandelbrot set","will-mint"
Fri Jan  6 16:14:12 2012,18.62,"Calculate mandelbrot set","will-mint"
Fri Jan  6 16:29:09 2012,18.64,"Calculate mandelbrot set","will-mint"
Fri Jan  6 16:53:50 2012,18.99,"Calculate mandelbrot set","will-mint"
Fri Jan  6 17:02:14 2012,19.27,"Calculate mandelbrot set","will-mint"
Fri Jan  6 17:15:07 2012,18.70,"Calculate mandelbrot set","will-mint"
Fri Jan  6 17:15:31 2012,18.47,"Calculate mandelbrot set","will-mint"
Fri Jan  6 17:17:23 2012,17.36,"Calculate mandelbrot set","will-mint"
Fri Jan  6 17:18:17 2012,17.59,"Calculate mandelbrot set","will-mint"
Fri Jan  6 17:27:07 2012,12.06,"Calculate mandelbrot set","will-mint"
Fri Jan  6 17:46:30 2012,12.09,"Calculate mandelbrot set","will-mint"
Fri Jan  6 18:52:44 2012,19.06,"Calculate mandelbrot set","will-mint"
Fri Jan  6 18:53:17 2012,11.67,"Calculate mandelbrot set","will-mint"
Fri Jan  6 20:01:06 2012,20.10,"Calculate mandelbrot set","will-mint"
Fri Jan  6 21:33:08 2012,21.13,"Calculate mandelbrot set","will-mint"
Sat Jan  7 12:54:21 2012,10.40,"Calculate mandelbrot set","will-mint"
Sat Jan  7 14:30:36 2012,10.56,"Calculate mandelbrot set","will-mint"
Sat Jan  7 14:49:46 2012,10.54,"Calculate mandelbrot set","will-mint"
Sat Jan  7 15:59:33 2012,10.55,"Calculate mandelbrot set","will-mint"
Sat Jan  7 15:59:59 2012,10.67,"Calculate mandelbrot set","will-mint"
Sat Jan  7 16:02:00 2012,10.62,"Calculate mandelbrot set","will-mint"
Sat Jan  7 16:06:05 2012,10.30,"Calculate mandelbrot set","will-mint"
Sat Jan  7 16:20:58 2012,10.02,"Calculate mandelbrot set","will-mint"
Sat Jan  7 16:23:22 2012,10.17,"Calculate mandelbrot set","will-mint"
Sat Jan  7 16:25:19 2012,10.25,"Calculate mandelbrot set","will-mint"
Sat Jan  7 16:29:20 2012,10.30,"Calculate mandelbrot set","will-mint"
Sat Jan  7 16:43:41 2012,10.71,"Calculate mandelbrot set","will-mint"
Sun Jan  8 15:53:07 2012,10.54,"Calculate mandelbrot set","will-mint"
Sun Jan  8 18:36:28 2012,10.99,"Calculate mandelbrot set","will-mint"
Sun Jan  8 22:50:45 2012,10.68,"Calculate mandelbrot set","will-mint"
Sun Jan  8 22:52:42 2012,10.63,"Calculate mandelbrot set","will-mint"
Sun Jan  8 22:55:16 2012,10.28,"Calculate mandelbrot set","will-mint"
Sun Jan  8 22:59:10 2012,7.89,"Calculate mandelbrot set","will-mint"
Sun Jan  8 23:00:42 2012,7.33,"Calculate mandelbrot set","will-mint"
Sun Jan  8 23:02:58 2012,7.93,"Calculate mandelbrot set","will-mint"
Sun Jan  8 23:12:59 2012,10.22,"Calculate mandelbrot set","will-mint"
Sun Jan  8 23:19:55 2012,10.42,"Calculate mandelbrot set","will-mint"
Sun Jan  8 23:21:32 2012,10.27,"Calculate mandelbrot set","will-mint"
Mon Jan  9 00:47:18 2012,10.12,"Calculate mandelbrot set","will-mint"
Mon Jan  9 00:49:24 2012,10.12,"Calculate mandelbrot set","will-mint"
Mon Jan  9 00:50:26 2012,10.21,"Calculate mandelbrot set","will-mint"
Mon Jan  9 00:50:38 2012,10.21,"Calculate mandelbrot set","will-mint"
Mon Jan  9 00:52:02 2012,10.07,"Calculate mandelbrot set","will-mint"
Mon Jan  9 00:54:59 2012,10.16,"Calculate mandelbrot set","will-mint"
Mon Jan  9 00:55:17 2012,10.15,"Calculate mandelbrot set","will-mint"
Mon Jan  9 00:57:46 2012,10.13,"Calculate mandelbrot set","will-mint"
Mon Jan  9 01:08:35 2012,10.20,"Calculate mandelbrot set","will-mint"
Mon Jan  9 01:09:13 2012,10.45,"Calculate mandelbrot set","will-mint"
Mon Jan  9 01:09:25 2012,10.32,"Calculate mandelbrot set","will-mint"
Mon Jan  9 10:27:54 2012,10.29,"Calculate mandelbrot set","will-mint"
Mon Jan  9 11:51:14 2012,10.35,"Calculate mandelbrot set","will-mint"
Mon Jan  9 11:51:29 2012,10.35,"Calculate mandelbrot set","will-mint"
Mon Jan  9 23:04:45 2012,10.29,"Calculate mandelbrot set","will-mint"
Tue Jan 10 22:01:22 2012,10.24,"Calculate mandelbrot set","will-mint"
Tue Jan 10 22:11:36 2012,3.33,"Calculate mandelbrot set","will-mint"
Tue Jan 10 22:11:42 2012,3.11,"Calculate mandelbrot set","will-mint"
Tue Jan 10 22:11:48 2012,3.12,"Calculate mandelbrot set","will-mint"
Tue Jan 10 22:18:46 2012,10.17,"Calculate mandelbrot set","will-mint"
Tue Jan 10 22:19:06 2012,3.22,"Calculate mandelbrot set","will-mint"
Wed Jan 11 23:38:59 2012,4.30,"Calculate mandelbrot set","will-mint"
Wed Jan 11 23:39:08 2012,10.40,"Calculate mandelbrot set","will-mint"
Thu Jan 12 17:20:50 2012,10.12,"Calculate mandelbrot set","will-mint"
Thu Jan 12 17:21:10 2012,10.16,"Calculate mandelbrot set","will-mint"
Fri Jan 13 15:03:22 2012,10.01,"Calculate mandelbrot set","will-mint"
Fri Jan 13 15:03:46 2012,10.21,"Calculate mandelbrot set","will-mint"
Fri Jan 13 15:06:57 2012,3.30,"Calculate mandelbrot set","will-mint"
Fri Jan 13 15:26:58 2012,3.11,"Calculate mandelbrot set","will-mint"
Fri Jan 13 15:27:05 2012,10.04,"Calculate mandelbrot set","will-mint"
Sat Jan 14 00:05:54 2012,10.17,"Calculate mandelbrot set","will-mint"
Sat Jan 14 00:06:07 2012,10.23,"Calculate mandelbrot set","will-mint"
Sat Jan 14 00:07:46 2012,10.18,"Calculate mandelbrot set","will-mint"
Sat Jan 14 21:55:47 2012,10.71,"Calculate mandelbrot set","will-mint"
Sat Jan 14 21:56:04 2012,10.47,"Calculate mandelbrot set","will-mint"
Sat Jan 14 21:56:39 2012,47.97,"Calculate mandelbrot set","will-mint"
Sat Jan 14 22:21:47 2012,16.36,"Calculate mandelbrot set","will-mint"
Sat Jan 14 22:22:27 2012,65.86,"Calculate mandelbrot set","will-mint"
Sat Jan 14 22:23:38 2012,14.89,"Calculate mandelbrot set","will-mint"
Sat Jan 14 22:24:58 2012,11.30,"Calculate mandelbrot set","will-mint"
Sat Jan 14 22:25:12 2012,21.30,"Calculate mandelbrot set","will-mint"
Sat Jan 14 22:54:59 2012,9.99,"Calculate mandelbrot set","will-mint"
Sat Jan 14 22:55:25 2012,10.25,"Calculate mandelbrot set","will-mint"
Sat Jan 14 22:56:34 2012,10.06,"Calculate mandelbrot set","will-mint"
Sat Jan 14 22:56:50 2012,9.85,"Calculate mandelbrot set","will-mint"
Sun Jan 15 18:11:42 2012,14.92,"Calculate mandelbrot set","will-mint"
Sun Jan 15 18:14:48 2012,10.06,"Calculate mandelbrot set","will-mint"
Fri Jan 20 23:54:55 2012,10.02,"Calculate mandelbrot set","will-mint"
Fri Jan 20 23:55:08 2012,10.03,"Calculate mandelbrot set","will-mint"
Sat Jan 21 00:00:21 2012,10.20,"Calculate mandelbrot set","will-mint"
Sat Jan 21 00:00:34 2012,10.08,"Calculate mandelbrot set","will-mint"
Sun Jan 22 22:52:06 2012,10.06,"Calculate mandelbrot set","will-mint"
Sun Jan 22 22:55:53 2012,9.61,"Calculate mandelbrot set","will-mint"
Sun Jan 22 22:56:10 2012,9.43,"Calculate mandelbrot set","will-mint"
Mon Feb 20 14:10:14 2012,10.37,"Calculate mandelbrot set","will-mint"
Mon Feb 20 14:15:09 2012,10.16,"Calculate mandelbrot set","will-mint"
Mon Feb 20 14:18:34 2012,10.27,"Calculate mandelbrot set","will-mint"
Mon Feb 20 14:19:26 2012,10.09,"Calculate mandelbrot set","will-mint"
Sat Feb 25 23:40:05 2012,10.03,"Calculate mandelbrot set","will-mint"
Sun Mar  4 17:08:43 2012,9.93,"Calculate mandelbrot set","will-mint"
Sun Mar  4 17:08:57 2012,10.10,"Calculate mandelbrot set","will-mint"
Sun Mar  4 17:09:13 2012,10.23,"Calculate mandelbrot set","will-mint"
Sun Mar  4 17:13:02 2012,10.05,"Calculate mandelbrot set","will-mint"
Sat Jul 14 14:35:21 2012,7.51,"Calculate mandelbrot set","will-tosh"
Sat Jul 14 23:57:48 2012,7.38,"Calculate mandelbrot set","will-tosh"
Sun Jul 15 00:19:34 2012,7.55,"Calculate mandelbrot set","will-tosh"
Sun Jul 15 00:19:47 2012,7.62,"Calculate mandelbrot set","will-tosh"
Sun Jul 15 00:19:59 2012,7.73,"Calculate mandelbrot set","will-tosh"
Sun Jul 15 00:24:39 2012,7.74,"Calculate mandelbrot set","will-tosh"
Sun Jul 15 00:40:50 2012,7.59,"Calculate mandelbrot set","will-tosh"
Sun Jul 15 16:12:19 2012,10.21,"Calculate mandelbrot set","will-mint"
Wed Jul 18 16:47:44 2012,7.88,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 21:52:01 2012,8.84,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:04:02 2012,8.69,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:05:50 2012,8.80,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:10:47 2012,8.78,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:15:52 2012,8.45,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:16:30 2012,8.37,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:19:25 2012,8.30,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:21:43 2012,8.25,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:22:36 2012,8.36,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:24:43 2012,8.25,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:26:28 2012,8.32,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:33:01 2012,8.23,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:40:24 2012,8.48,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:58:20 2012,8.32,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 22:58:50 2012,8.46,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 23:00:12 2012,8.33,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 23:02:59 2012,8.21,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 23:04:12 2012,8.32,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 23:04:34 2012,8.22,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 23:05:58 2012,0.00,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 23:06:06 2012,0.00,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 23:06:22 2012,8.32,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 23:07:36 2012,8.15,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 23:09:44 2012,8.21,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 23:10:48 2012,8.34,"Calculate mandelbrot set","will-tosh"
Fri Jul 20 23:13:55 2012,8.16,"Calculate mandelbrot set","will-tosh"
Sun Jul 22 16:32:46 2012,8.47,"Calculate mandelbrot set","will-tosh"
Sat Jul 28 01:35:43 2012,8.61,"Calculate mandelbrot set","will-tosh"
Mon Jul 30 23:17:52 2012,11.20,"Calculate mandelbrot set","will-mint"
Mon Jul 30 23:18:49 2012,11.13,"Calculate mandelbrot set","will-mint"
Mon Jul 30 23:26:49 2012,10.96,"Calculate mandelbrot set","will-mint"
Mon Jul 30 23:27:49 2012,10.92,"Calculate mandelbrot set","will-mint"
Mon Jul 30 23:34:22 2012,11.10,"Calculate mandelbrot set","will-mint"
Mon Jul 30 23:34:36 2012,10.99,"Calculate mandelbrot set","will-mint"
Mon Jul 30 23:38:54 2012,11.14,"Calculate mandelbrot set","will-mint"
Mon Jul 30 23:39:27 2012,11.32,"Calculate mandelbrot set","will-mint"
Mon Jul 30 23:40:09 2012,11.14,"Calculate mandelbrot set","will-mint"
Mon Jul 30 23:41:02 2012,11.29,"Calculate mandelbrot set","will-mint"
Mon Jul 30 23:44:09 2012,11.30,"Calculate mandelbrot set","will-mint"
Mon Jul 30 23:57:29 2012,11.39,"Calculate mandelbrot set","will-mint"
Fri Aug 31 11:06:08 2012,8.82,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:13:04 2012,9.58,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:15:40 2012,9.48,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:23:37 2012,11.26,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:24:16 2012,7.90,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:25:21 2012,8.15,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:25:53 2012,7.95,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:28:24 2012,7.95,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:29:01 2012,7.91,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:30:06 2012,7.89,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:37:21 2012,7.86,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:38:43 2012,7.90,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:41:28 2012,7.96,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:46:40 2012,7.89,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:48:45 2012,7.85,"Calculate mandelbrot set","will-tosh"
Tue Sep 25 21:55:30 2012,8.00,"Calculate mandelbrot set","will-tosh"
Sun Dec  9 23:52:10 2012,8.03,"Calculate mandelbrot set","will-tosh"
Mon Dec 17 23:30:01 2012,7.83,"Calculate mandelbrot set","will-tosh"
Mon Dec 17 23:31:17 2012,7.81,"Calculate mandelbrot set","will-tosh"
Tue Dec 18 21:08:47 2012,5.91,"Calculate mandelbrot set","will-tosh"
Tue Dec 18 21:11:30 2012,5.79,"Calculate mandelbrot set","will-tosh"
Tue Dec 18 21:13:31 2012,5.75,"Calculate mandelbrot set","will-tosh"
Thu Dec 20 18:15:45 2012,5.81,"Calculate mandelbrot set","will-tosh"
Thu Dec 20 18:29:12 2012,5.73,"Calculate mandelbrot set","will-tosh"
Fri Dec 21 22:18:10 2012,6.75,"Calculate mandelbrot set","will-tosh"
Fri Dec 21 22:18:43 2012,6.05,"Calculate mandelbrot set","will-tosh"
Fri Dec 21 22:19:31 2012,6.00,"Calculate mandelbrot set","will-tosh"
Fri Dec 21 22:20:00 2012,6.78,"Calculate mandelbrot set","will-tosh"
Fri Dec 21 22:20:16 2012,6.12,"Calculate mandelbrot set","will-tosh"
Fri Dec 28 12:17:30 2012,6.11,"Calculate mandelbrot set","will-tosh"
Sat Dec 29 00:52:34 2012,6.21,"Calculate mandelbrot set","will-tosh"
Sat Dec 29 00:52:47 2012,6.09,"Calculate mandelbrot set","will-tosh"
Sat Dec 29 01:00:55 2012,8.53,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:38:21 2013,5.73,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:40:07 2013,5.70,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:41:50 2013,5.57,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:47:17 2013,5.69,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:49:37 2013,0.01,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:49:57 2013,0.01,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:50:19 2013,0.01,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:51:47 2013,0.01,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:53:10 2013,5.80,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:54:26 2013,5.65,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 11:54:47 2013,5.67,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 12:24:13 2013,5.75,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 13:27:45 2013,4.92,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 13:35:33 2013,4.97,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 13:36:54 2013,5.00,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 13:37:28 2013,5.46,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 13:37:41 2013,5.46,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 13:37:57 2013,5.06,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 15:46:28 2013,4.95,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 16:33:30 2013,4.89,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 17:11:04 2013,4.97,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 17:11:13 2013,5.00,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 17:57:40 2013,0.02,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 17:59:23 2013,0.01,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 18:01:05 2013,0.01,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 18:06:32 2013,5.14,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 18:06:44 2013,5.21,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 18:06:55 2013,5.11,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 18:09:32 2013,4.87,"Calculate mandelbrot set","will-tosh"
Tue Jan  1 18:10:48 2013,4.84,"Calculate mandelbrot set","will-tosh"
